시도,시군구,위도,경도
충청북도,음성군,36.97622261,127.6142068
충청북도,단양군,36.99445276,128.3878416
충청남도,천안시동남구,36.76411722,127.2208946
충청남도,천안시서북구,36.89271067,127.1618094
충청남도,공주시,36.47981976,127.0752191
충청남도,보령시,36.34024523,126.594247
충청남도,아산시,36.80731633,126.9800756
충청남도,서산시,36.78399346,126.4636016
충청남도,논산시,36.19088691,127.1577164
충청남도,계룡시,36.2915937,127.2344266
충청남도,당진시,36.90325778,126.6527445
충청남도,금산군,36.11900081,127.4783119
충청남도,부여군,36.2463839,126.8569676
충청남도,서천군,36.10517212,126.7079805
충청남도,청양군,36.43058296,126.8531131
충청남도,홍성군,36.57009431,126.6258536
충청남도,예산군,36.67062867,126.7843109
충청남도,태안군,36.7036613,126.2809571
전라북도,전주시완산구,35.79209428,127.1195036
전라북도,전주시덕진구,35.85870118,127.1129157
전라북도,군산시,35.95043894,126.7260152
전라북도,익산시,36.02310555,126.9895102
전라북도,정읍시,35.60262466,126.9058575
전라북도,남원시,35.4225448,127.4418897
전라북도,김제시,35.80671644,126.8948857
전라북도,완주군,35.91861444,127.2151146
전라북도,진안군,35.82880745,127.4300354
전라북도,무주군,35.93936736,127.7129531
전라북도,장수군,35.65746098,127.5442641
전라북도,임실군,35.59820204,127.2366472
전라북도,순창군,35.4336343,127.090087
전라북도,고창군,35.44816757,126.6160462
전라북도,부안군,35.6779229,126.6443774
전라남도,목포시,34.80376416,126.3918353
전라남도,여수시,34.69617175,127.6532031
전라남도,순천시,34.99474506,127.3891627
전라남도,나주시,34.9885894,126.7204103
전라남도,광양시,35.0219785,127.6550735
전라남도,담양군,35.2914951,126.9952909
전라남도,곡성군,35.21661355,127.2635825
전라남도,구례군,35.23676622,127.5031193
전라남도,고흥군,34.59848495,127.3146205
전라남도,보성군,34.8143749,127.1621214
전라남도,화순군,35.00818573,127.0334335
전라남도,장흥군,34.67653701,126.9215323
전라남도,강진군,34.62046495,126.7721517
전라남도,해남군,34.5458247,126.5217898
전라남도,영암군,34.79956672,126.6306945
전라남도,무안군,34.95320449,126.4259079
전라남도,함평군,35.11267054,126.5356041
전라남도,영광군,35.27848603,126.4531293
전라남도,장성군,35.32956437,126.7684949
전라남도,완도군,34.29557933,126.7768069
전라남도,진도군,34.43939638,126.2150578
전라남도,신안군,34.81240654,126.048907
경상북도,포항시 남구,35.95813526,129.4376545
경상북도,포항시 북구,36.16507327,129.234009
경상북도,경주시,35.8266428,129.2359296
경상북도,김천시,36.06042386,128.0777075
경상북도,안동시,36.58024221,128.7800427
경상북도,구미시,36.20730964,128.3555555
경상북도,영주시,36.8704754,128.5976826
경상북도,영천시,36.01577844,128.942624
경상북도,상주시,36.42950234,128.067007
경상북도,문경시,36.69079151,128.1486082
경상북도,경산시,35.83406007,128.8090552
경상북도,군위군,36.17011208,128.6482246
경상북도,의성군,36.36204451,128.6150673
경상북도,청송군,36.35697643,129.0573852
경상북도,영양군,36.69638883,129.1450305
경상북도,영덕군,36.48238769,129.3173762
경상북도,청도군,35.67297478,128.786527
경상북도,고령군,35.73719712,128.3067337
경상북도,성주군,35.90722342,128.2333931
경상북도,칠곡군,36.01551131,128.4625838
경상북도,예천군,36.65384527,128.422384
경상북도,봉화군,36.93414016,128.9129004
경상북도,울진군,36.90391313,129.3123186
경상북도,울릉군,37.50194192,130.864243
경상남도,창원시 의창구,35.30894896,128.6495884
경상남도,창원시 성산구,35.19618568,128.6721044
경상남도,창원시 마산합포구,35.13545806,128.4852558
경상남도,창원시 마산회원구,35.23222659,128.5364332
경상남도,창원시 진해구,35.12994945,128.7363008
경상남도,진주시,35.20515765,128.1298011
경상남도,통영시,34.82932843,128.3740775
경상남도,사천시,35.04970341,128.0376963
경상남도,김해시,35.27215642,128.8452158
경상남도,밀양시,35.4984997,128.7896015
경상남도,거제시,34.8704352,128.6231395
경상남도,양산시,35.40188821,129.0410414
경상남도,의령군,35.39243102,128.2770578
경상남도,함안군,35.29100281,128.4308769
경상남도,창녕군,35.50822773,128.4930519
경상남도,고성군,35.01630447,128.2906632
경상남도,남해군,34.81829098,127.9411405
경상남도,하동군,35.13830463,127.779049
경상남도,산청군,35.36859736,127.8843379
경상남도,함양군,35.55160171,127.7220411
경상남도,거창군,35.73255219,127.9041696
경상남도,합천군,35.57657745,128.1415437
제주특별자지도,제주시,33.44220188,126.5292476
제주특별자지도,서귀포시,33.32504027,126.5810857
